gene_accession,A_B1_alignment_dedup,PT010H2T0_alignment_dedup,A_P1_alignment_dedup,A_P2_alignment_dedup,A_B2_alignment_dedup,UK034D1T0_alignment_dedup,PT131D1T0_alignment_dedup,UK020D1T0_alignment_dedup,UK008H1T0_alignment_dedup,A_H2_alignment_dedup,A_H1_alignment_dedup
MEG_2836|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,849.0,0,926.0,829.0,831.0,0,0,0,0,631.0,900.0
MEG_7313|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1371.0,165.0,1238.0,1282.0,1588.0,289.0,696.0,0,187.0,440.0,528.0
MEG_6711|Drugs|betalactams|Class_A_betalactamases|TEM,55.0,0,0,85.0,16.0,0,319.0,0,0,0,0
MEG_7303|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,2024.0,2131.0,1233.0,1251.0,2015.0,298.0,1639.0,0,1199.0,610.0,738.0
MEG_2546|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,17.0,0,0
MEG_1593|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,50.0,23.0,0,0,0,0,10.0,0,0
MEG_6554|Drugs|betalactams|Class_B_betalactamases|SPM,0,0,0,0,0,0,0,0,0,0,12.0
MEG_4976|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,15.0,39.0
MEG_3538|Drugs|betalactams|Class_D_betalactamases|LCR,0,0,0,0,0,0,0,0,0,948.0,1001.0
MEG_144|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,65.0,0,0,0,0,0,0,0,0,0
MEG_1756|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,0,0,280.0,0,0,0,44.0
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2727.0,1101.0,2249.0,2637.0,3156.0,3252.0,1751.0,0,1162.0,209.0,421.0
MEG_1760|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,0,0,0,0,0,0,0,0,0,0,22.0
MEG_6579|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,98.0,0,0,0,0,172.0,179.0
MEG_1743|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMED,0,0,199.0,68.0,32.0,0,0,0,0,0,0
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,8.0,25.0,84.0,48.0,35.0,0,0,0,0,233.0,256.0
MEG_883|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,186.0,114.0,24.0,0,0,0,0,30.0,32.0
MEG_2532|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,222.0,0,0,0,0,0,0
MEG_8077|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,0,0,0,0,0,0,39.0,0,0,0,0
MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,123.0,0,413.0,698.0,273.0,0,246.0,0,0,0,0
MEG_2830|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,699.0,722.0,1118.0,1093.0,1107.0,25.0,0,0,343.0,644.0,848.0
MEG_7130|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1981.0,614.0,681.0,796.0,2237.0,0,1092.0,0,356.0,486.0,792.0
MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,0,0,0,0,0,0,0,0,0,74.0,100.0
MEG_6866|Drugs|betalactams|Class_A_betalactamases|TEM,256.0,0,126.0,349.0,61.0,0,588.0,0,0,0,0
MEG_7861|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,558.0,552.0,497.0,779.0,0,0,1217.0,1569.0,1019.0,0,0
MEG_901|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,14.0,0,0,0,121.0,0,0,0,0,61.0,97.0
MEG_3125|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,35.0,0
MEG_6734|Drugs|betalactams|Class_A_betalactamases|TEM,120.0,0,52.0,165.0,17.0,0,560.0,0,0,0,0
MEG_2509|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,252.0,0,0,0,0,0,0
MEG_707|Drugs|betalactams|Class_A_betalactamases|AER,0,0,0,0,0,0,0,0,0,253.0,330.0
MEG_6962|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ,29.0,25.0,50.0,245.0,127.0,0,0,0,0,18.0,35.0
MEG_8082|Drugs|MLS|23S_rRNA_methyltransferases|ERM51,0,0,24.0,16.0,0,0,0,0,0,0,0
MEG_6521|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,0,0,0,0,0,0,0,0,0,77.0,0
MEG_2691|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,997.0,661.0,955.0,1175.0,789.0,212.0,1115.0,1249.0,1086.0,27.0,31.0
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,1169.0,879.0,1158.0,1216.0,1111.0,334.0,1168.0,1187.0,1114.0,81.0,96.0
MEG_4981|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,16.0,0
MEG_7047|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,877.0,48.0,901.0,1196.0,324.0,0,0,0,0,0,0
MEG_6502|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,0,0,701.0,2542.0,0,0,0,0,30.0,47.0,65.0
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,1554.0,1239.0,1530.0,1637.0,1439.0,604.0,1636.0,1663.0,1568.0,97.0,98.0
MEG_7248|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ,470.0,0,1232.0,1736.0,1264.0,0,0,0,0,17.0,33.0
MEG_7538|Drugs|Glycopeptides|VanB-type_accessory_protein|VANWB,0,23.0,23.0,0,0,0,0,0,0,0,0
MEG_6875|Drugs|betalactams|Class_A_betalactamases|TEM,607.0,0,476.0,662.0,0,0,772.0,0,0,0,0
MEG_4533|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,120.0,181.0
MEG_2506|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,68.0,0,0,0,0,0,0
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,219.0,284.0,193.0,472.0,126.0,50.0,682.0,787.0,598.0,0,0
MEG_3049|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPTA,0,107.0,0,0,0,0,0,0,0,0,0
MEG_6800|Drugs|betalactams|Class_A_betalactamases|TEM,44.0,0,11.0,52.0,13.0,0,317.0,0,0,0,0
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,1221.0,960.0,1211.0,1233.0,1147.0,372.0,1212.0,1224.0,1166.0,54.0,93.0
MEG_3818|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,583.0,0,0,0,646.0,0,0,0,0,1239.0,1594.0
MEG_3107|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,174.0,169.0
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,641.0,450.0,627.0,697.0,553.0,183.0,659.0,696.0,634.0,26.0,38.0
MEG_1276|Drugs|betalactams|Class_C_betalactamases|BLAEC,601.0,0,1428.0,2059.0,199.0,105.0,841.0,497.0,768.0,23.0,22.0
MEG_4164|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,2566.0,1416.0,2432.0,2984.0,1962.0,410.0,2770.0,2917.0,2694.0,83.0,69.0
MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,0,0,21.0,0,0,0,38.0,0,0,0,0
MEG_3810|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,337.0,0,0,0,0,0,0,0,0,234.0,420.0
MEG_3916|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXJ,0,38.0,0,0,0,0,0,0,0,0,0
MEG_6035|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,0,0,0,0,0,0,0,0,0,91.0,159.0
MEG_4763|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,232.0,291.0
MEG_7171|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,2814.0,2231.0,3487.0,3449.0,2805.0,1322.0,0,1063.0,2217.0,1343.0,1466.0
MEG_6595|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,127.0,0,64.0,93.0,270.0,0,0,0,0,513.0,477.0
MEG_1018|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,72.0,0,0,10.0,0,0,0,0,26.0,31.0
MEG_1992|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,20.0
MEG_8664|Drugs|betalactams|Class_A_betalactamases|ROB,28.0,0,23.0,22.0,32.0,0,0,0,0,0,0
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,850.0,83.0,534.0,1664.0,152.0,88.0,848.0,1253.0,694.0,14.0,0
MEG_2796|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,1195.0,1144.0,1320.0,1310.0,1199.0,65.0,15.0,0,835.0,880.0,1171.0
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,1342.0,83.0,1292.0,1373.0,1245.0,270.0,1244.0,1303.0,1210.0,33.0,52.0
MEG_1561|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,876.0,0,0,12.0,0,81.0,0,231.0,0,17.0
MEG_5382|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,1465.0,1556.0,2256.0,2697.0,1045.0,391.0,2829.0,2056.0,2136.0,105.0,103.0
MEG_4161|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NFXB|RequiresSNPConfirmation,0,28.0,0,0,0,0,0,0,0,0,0
MEG_6585|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,0,0,0,0,0,0,0,294.0,435.0
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,1462.0,949.0,1368.0,1585.0,1279.0,377.0,1525.0,1606.0,1500.0,76.0,80.0
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,1956.0,1833.0,2171.0,2198.0,2135.0,23.0,0,0,1750.0,346.0,617.0
MEG_7168|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3100.0,2822.0,3462.0,3399.0,3216.0,435.0,0,0,2020.0,535.0,713.0
MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,3428.0,3380.0,3476.0,3389.0,3441.0,2987.0,0,2596.0,3337.0,1327.0,1568.0
MEG_5882|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,18.0
MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,2172.0,3450.0,0,0,0,445.0,0,0,2791.0,680.0,736.0
MEG_6670|Drugs|betalactams|Class_A_betalactamases|TEM,102.0,0,66.0,174.0,26.0,0,657.0,0,0,0,0
MEG_2517|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,10.0,21.0
MEG_4774|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,661.0,690.0
MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR,805.0,640.0,787.0,867.0,733.0,311.0,839.0,864.0,818.0,58.0,55.0
MEG_6893|Drugs|betalactams|Class_A_betalactamases|TEM,49.0,75.0,32.0,77.0,0,0,387.0,0,0,0,0
MEG_1732|Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation,0,2491.0,0,0,0,124.0,2227.0,0,1598.0,0,47.0
MEG_3600|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,292.0,294.0,13.0,0,0,0,0,7.0,11.0
MEG_6105|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,2637.0,3588.0,3699.0,0,933.0,3483.0,0,3480.0,2326.0,2590.0
MEG_3840|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,0,0,0,27.0,0,0,0,0,0,1651.0,1608.0
MEG_4657|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,16.0,0,0,0,0,0,0,0,0
MEG_6836|Drugs|betalactams|Class_A_betalactamases|TEM,97.0,0,62.0,160.0,23.0,0,480.0,0,0,0,0
MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,61.0,0,0,0,0,0,0,0,23.0
MEG_8247|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MEXC1,0,0,0,0,0,0,0,0,0,241.0,209.0
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,0,0,0,0,0,0,0,0,0,49.0,54.0
MEG_771|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,37.0,70.0,0,0,51.0,0,0,186.0,222.0
MEG_172|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,372.0,0,0,0,190.0,0,0,0,0,0,0
MEG_7252|Drugs|betalactams|Class_A_betalactamases|TLA,0,0,0,0,0,0,0,0,0,343.0,548.0
MEG_2855|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,936.0,0,0,447.0,294.0,96.0,0,0,0,0,0
MEG_7319|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,1250.0,0,1146.0,1167.0,1469.0,267.0,559.0,0,204.0,387.0,456.0
MEG_351|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,10.0,6.0
MEG_6959|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE,0,0,0,0,0,0,0,0,0,27.0,28.0
MEG_3774|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,92.0,0,0,0,0
MEG_3814|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,1401.0,0,940.0,929.0,1459.0,682.0,0,0,0,431.0,779.0
MEG_3692|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,0,0,0,0,0,0,125.0,171.0
MEG_4419|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,518.0,635.0
MEG_3665|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MCO,37.0,0,234.0,275.0,57.0,0,0,0,0,25.0,36.0
MEG_3738|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,1477.0,1043.0,1417.0,1944.0,1069.0,300.0,1983.0,2079.0,1832.0,27.0,24.0
MEG_2991|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,0,0,0,0,0,0,4.0,0
MEG_5005|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,100.0,138.0
MEG_4308|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,203.0,0,0,0,1811.0,0,0,0,0,0,0
MEG_5835|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACF,0,0,0,0,0,0,0,0,0,0,23.0
MEG_3611|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC,20.0,0,88.0,64.0,92.0,0,0,0,0,695.0,762.0
MEG_3180|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,510.0,546.0
MEG_2954|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,96.0,0,78.0,114.0,386.0,0,0,0,0,577.0,565.0
MEG_6507|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,0,0,2938.0,4666.0,0,0,90.0,0,78.0,257.0,310.0
MEG_834|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,143.0,0,0,0,0,23.0,21.0
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,4.0,0,0
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,1151.0,912.0,1135.0,1208.0,1046.0,295.0,1155.0,1197.0,1137.0,77.0,94.0
MEG_7254|Drugs|betalactams|Class_A_betalactamases|TLA,0,0,0,0,0,0,0,0,0,42.0,52.0
MEG_6676|Drugs|betalactams|Class_A_betalactamases|TEM,34.0,0,17.0,48.0,13.0,0,334.0,0,0,0,0
MEG_7195|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,0,0,53.0,292.0,0,0,0,0,0,168.0,323.0
MEG_1029|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,495.0,1250.0,217.0,118.0,0,0,0,0,0
MEG_3941|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXZ|RequiresSNPConfirmation,0,33.0,0,0,0,0,0,0,0,0,0
MEG_1024|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,181.0,54.0,0,0,0,0,0,0
MEG_1782|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CMTR,0,0,0,0,0,0,0,0,0,21.0,19.0
MEG_870|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,19.0,0,0,19.0,0,0,0,0,0,0,0
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,2745.0,0,400.0,703.0,3418.0,0,0,0,0,35.0,192.0
MEG_3935|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXV,0,65.0,0,0,0,0,0,0,0,0,0
MEG_1330|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,13.0,0,0,0,0,0,0,0,0
MEG_1420|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,0,0,23.0,0,0,0,0
MEG_6600|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,15.0,17.0,64.0,0,0,0,0,153.0,176.0
MEG_2537|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,67.0,0,0,0,0,0,0
MEG_790|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,79.0,66.0,19.0,0,30.0,0,0,38.0,31.0
MEG_6072|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTF,0,632.0,854.0,470.0,0,0,0,0,0,0,0
MEG_1240|Drugs|betalactams|Class_A_betalactamases|BLAA,0,0,0,0,0,0,0,0,0,1296.0,1383.0
MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,2172.0,388.0,1901.0,2652.0,1709.0,415.0,2556.0,2664.0,2381.0,47.0,49.0
MEG_6122|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,859.0
MEG_2671|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,206.0,265.0,200.0,504.0,106.0,46.0,704.0,796.0,606.0,0,0
MEG_6580|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,145.0,25.0,84.0,138.0,443.0,0,0,0,0,716.0,747.0
MEG_6768|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,11.0,0,0,102.0,0,0,0,0
MEG_1286|Drugs|betalactams|Class_A_betalactamases|BLAF,0,0,0,0,0,0,0,0,0,0,33.0
MEG_6754|Drugs|betalactams|Class_A_betalactamases|TEM,28.0,0,31.0,59.0,0,0,281.0,0,0,0,0
MEG_2088|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORB,441.0,0,456.0,635.0,362.0,30.0,208.0,355.0,202.0,28.0,27.0
MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0,0,0,0,0,0,0,92.0,131.0
MEG_2952|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,29.0,15.0
MEG_6843|Drugs|betalactams|Class_A_betalactamases|TEM,0,204.0,0,0,0,157.0,317.0,41.0,79.0,0,0
MEG_6037|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,0,0,0,0,0,0,0,0,0,51.0,62.0
MEG_7200|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,39.0,0,229.0,963.0,97.0,0,89.0,0,42.0,40.0,181.0
MEG_6891|Drugs|betalactams|Class_A_betalactamases|TEM,0,100.0,58.0,189.0,0,67.0,549.0,0,0,0,0
MEG_1688|Drugs|betalactams|Class_A_betalactamases|CFX,271.0,624.0,835.0,960.0,506.0,0,0,0,0,0,0
MEG_6584|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,93.0,0,60.0,78.0,311.0,0,0,0,0,501.0,499.0
MEG_2738|Drugs|MLS|23S_rRNA_methyltransferases|EMTA,0,0,0,0,16.0,0,0,0,0,0,0
MEG_8643|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,0,0,0,0,0,71.0,246.0,0,0,0,0
MEG_3812|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,836.0,0,452.0,465.0,911.0,471.0,68.0,0,0,616.0,981.0
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,24.0,0,0,0,0
MEG_6704|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,85.0,0,0,0,0
MEG_3082|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,0,333.0,196.0,132.0,0,0,690.0,0,0,0,0
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,122.0,0,58.0,186.0,23.0,0,590.0,0,0,0,0
MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,229.0,1330.0,152.0,73.0,114.0,0,123.0,0,0,464.0,552.0
MEG_5153|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,18.0,11.0
MEG_1025|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,194.0,529.0,374.0,44.0,0,0,0,0,0
MEG_3785|Drugs|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,114.0,0,0,0,0
MEG_5090|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,650.0,695.0
MEG_5388|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,40.0,0
MEG_1651|Drugs|betalactams|Class_A_betalactamases|CEPA,0,0,30.0,40.0,0,0,0,0,445.0,0,0
MEG_2076|Metals|Copper_resistance|Copper_resistance_regulator|COPS,0,0,0,0,0,0,0,0,0,214.0,262.0
MEG_5873|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,0,0,0,0,0,0,0,0,0,8.0,14.0
MEG_7241|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,0,0,615.0,677.0,0,0,0,0,0,0,0
MEG_940|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,100.0,90.0
MEG_5374|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,184.0
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,1083.0,771.0,1123.0,1120.0,1170.0,867.0,0,540.0,1132.0,1270.0,1281.0
MEG_4100|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA,0,48.0,0,0,0,0,0,0,0,0,0
MEG_6931|Drugs|betalactams|Class_A_betalactamases|TEM,685.0,0,357.0,803.0,235.0,0,1175.0,0,0,0,0
MEG_6656|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB,1070.0,690.0,1056.0,1103.0,972.0,265.0,1073.0,1105.0,1011.0,47.0,54.0
MEG_8100|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation,975.0,0,957.0,1088.0,1152.0,146.0,0,0,0,200.0,0
MEG_4031|Drugs|MLS|Macrolide_phosphotransferases|MPHB,689.0,0,177.0,0,772.0,0,0,0,0,0,0
MEG_5356|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,293.0,0,0,0,0,555.0,0,480.0,0,0
MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,314.0,165.0,350.0,451.0,410.0,126.0,0,0,16.0,885.0,957.0
MEG_7420|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,0,47.0,0,0,0,0,0,0,0,0,0
MEG_2028|Metals|Copper_resistance|Copper_resistance_protein|COPA,0,0,0,0,0,0,0,0,0,334.0,280.0
MEG_7120|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1197.0,380.0,2583.0,2669.0,1342.0,0,772.0,0,0,667.0,1120.0
MEG_6719|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,360.0,0,0,0,0
MEG_2814|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,56.0,0,0,0,108.0,0,0,0,0,0,0
MEG_5321|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP,359.0,0,335.0,662.0,212.0,0,319.0,417.0,0,57.0,67.0
MEG_6727|Drugs|betalactams|Class_A_betalactamases|TEM,84.0,0,41.0,166.0,31.0,0,614.0,0,0,0,0
MEG_1485|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC,36.0,0,12.0,48.0,70.0,0,0,0,0,14.0,0
MEG_6575|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,638.0,475.0,607.0,724.0,535.0,178.0,764.0,801.0,712.0,19.0,19.0
